name,price,category,rating,review_count,reviews
Olio e Più,$$,"Pizza, Italian, Cocktail Bars",4.5,5411,"['Friendly service and great food. Perfect for springtime outing. Desserts were favorites!', 'Some of the BEST carbonara I have ever had out! We started with the Burrata and Carpaccio and it was outstanding. We then had the prosciutto and arugula...', 'Went here on a Friday night and had the carbonara. Carbonara was very good! Silky, rich, and buttery just the way I like it. I also got the negroni blanco...']"
Ye's Apothecary,$$$,"Szechuan, Speakeasies",4.5,598,"[""Perfect date night spot! Went here for Valentine's Day and the dim lighting, speakeasy ambience was romantic to say the least! \n\nFood: Delicious. We..."", 'Always good food and good baijiu, love it! Recommend! I also recommend tofu and laoganma chicken', 'Cozy environment with great drinks! Recommend the birds nest cocktail and desert flower.']"
Soothr,$$,"Thai, Noodles, Cocktail Bars",4.5,1298,"['Excellent food. Brings back memories of visit to Thailand. Simple yet elegant decor. Service was a little slow but food well worth it.', ""My favorite thai spot in NYC! The hype was so real and I get it. Excellent food, the koong karee was the best curry i've ever had. You must get this if you..."", 'I came here with a friend on a Tuesday night. We got here around 7pm, put our names on the waitlist, and grabbed drinks at a bar nearby until our table was...']"
Time Out Market New York,$$,Food Court,4.0,560,"['I loved this food hall and everything about it! You can get everything from ramen, tacos, boba drinks, desserts, and BOOZE!! Seating was plentiful on the...', ""This market changes constantly and I'm here weekly so the latest update is that the new arepa place is incredible!!! Get the homemade AREPA at The Maiz..."", ""Was excellent. There is such a wide selection of cuisines. Chote Miya's authentic Indian Mumbai cuisine is my favorite.\nI adore their vada pao and samosas\nA...""]"
LoveMama,$$,"Thai, Malaysian, Vietnamese",4.3,6686,"['So so delicious and the staff was very friendly! (: Lots of indoor and outdoor seating.', 'Food was great, well priced, service was amazing and very quick. I had the rendang nasi lemak with chicken and it was great.', 'first time here cost of the online rating \n\nMama papa shop \n\nservice 5/5\n\nfood 4/5 \n\nthai tea 4/5 \n\nover all was not bad for the price level']"
La Grande Boucherie,$$$,"French, Steakhouses, Cocktail Bars",4.4,2938,"['I came to la boucherie after years of not doing so. I sat at the bar and Sean made me a French 75 and asked me if I wanted a regular frenchie or a 50/50...', 'Lovely Sunday afternoon at La Grande Boucherie.  The atmosphere was perfect. We absolutely loved the truly grand interior. We enjoyed our appetizers.  I had...', 'The food was incredible, the service was wonderful and the interior of the restaurant was gorgeous. \n\nWhat we ordered:\nSalad with candied pecans, grapes, &...']"
AlMar,$$,"Italian, Breakfast & Brunch, Cocktail Bars",3.9,497,"['I recently visited AlMar restaurant for dinner, and it exceeded all my expectations. From the moment I walked in, I was greeted warmly by the staff and...', 'Both the pasta and egg in cloud was delicious. Like the smaller portion so that you can order other dishes. Cocktail Italian Sunrise is a must have!', ""Came here at 6:15PM on a Friday night. There was already a good amount of people inside so I'm glad we made reservations ahead of time. We got seated and...""]"
Her Name Is Han,$$,"Korean, Breakfast & Brunch",4.3,1984,"[""4.5 / 5.0 - I came to Her Name Is Han for lunch with coworkers and we could see why it's so popular.\nThey have a cool, stylish decor, excellent service and..."", 'This place gets packed around 6 pm; luckily, my boyfriend and I were able to snag a table for 2. Make sure your entire party is there at the same time....', 'Lovely flavorful food. I cannot comment on the how authentic the food is but very good sensory ride that you take back.\n\nService is fast and fairly...']"
Pomp and Circumstance,$$$,"Italian, Mediterranean, Middle Eastern",4.9,173,"['I grabbed dinner here and it did not disappoint. This was a cute and cozy spot just a few steps from the L train. For cocktails, I started with the Spicy...', ""It's cute and the drinks were good. The bread and dip wasn't amazing but it'll do. I'd say only go for the happy hour.\n\nAll the mains we had were garbage. I..."", 'Pomp and Circumstance is such a cute restaurant. I did not realize how small it was until we got there. We sat at the counter / bar and would highly...']"
Joe's Shanghai,$$,"Shanghainese, Seafood, Noodles",3.8,7320,"[""This place has the best dumplings I've ever had! My family has gone here before, but we wanted to find it again because of one thing we loved the first time..."", 'Surprisingly busy on a rainy Thursday @7:30pm. This is my second time here and the soup dumplings are probably the star. Crab or pork are good and sizable....', 'Came here on a weekend visit to NY, my friend recommended this as a spot for delicious soup dumplings and wow, it did not disappoint! The service was quick...']"
Don Angie,$$$,"Italian, New American",4.5,870,"['Tried (without success) to grab a reservation for four different days. Was bummed but figured we would maybe try to walk in during weekend lunch service one...', 'Walking in to get a reservation is easier than trying to get it on Resy. I tried for like a month straight on Resy, and it was just impossible even though I...', 'I had to see what the hype was about! I actually went in as a walk-in and was told that the wait would be 5 HOURS. So, since I was already in the city, I...']"
Malibu Farm New York,$$,"New American, Venues & Event Spaces, Beer Bar",3.8,389,"[""The food, the service, the ambience all top notch here. If you're staying in the seaport area, definitely worth coming. \n\nThe burger was juicy and..."", ""This was overall a very mediocre meal. It wasn't bad, but also wasn't great. They had a ton of reservations available on the same day, so we decided to stop..."", 'Pro is it is one of the few restaurants at South Street Seaport that you can walk into without a reservation. Food is healthy with high quality ingredients....']"
Westville,$$,Mediterranean,4.2,417,"['I must give Westville maximum stars. The maximum number of stars comes from its cozy and bright dining areas. The maximum endorsement comes from the...', 'Pretty good brunch spot in DUMBO!\n\nGot a couple of market veggies on a platter\n- brussels sprouts with dijon honey was super good, must try this!\n- roasted...', ""This place is a 3.5. It's good but nothing jaw dropping. \n\nI had a great meal for $24 of grilled salmon and pesto mashed potatoes and Moroccan fries. All...""]"
Lillo Cucina Italiana,$$,"Cafes, Italian",4.8,223,"['Absolutely loved this place!  Their artichoke appetizer and Cacio Pepe were amazing! I picked this place while I had an 8 hour layover at JFK. Best decision...', 'Do not eat here. The food may be top notch but the service is not. I was treated rudely by who I think was the owner as a solo diner and that is not how you...', 'Went around 2PM on a Saturday, and was able to get a table for 2. Seating seems a bit limited, so there is definitely a chance you may need to take out. It...']"
Hojokban,$$$,Korean,4.5,146,"[""I've been here twice and both times were amazing! Service is top notch and food is always great quality. \n\nFor starters I would highly recommend the beef..."", ""The restaurant is beautifully decorated with great mood lighting. It's a great place for a small group meal!\n\nTwo small plates and two main dishes were..."", 'Service \nFood \nAmbiance \n\nWe got the shin ramen cup noodle fried rice, soba, yukwe and EVERYTHING was soo good. I would definitely recommend!!!']"
Rule of Thirds,$$$,"Japanese, Breakfast & Brunch, Cocktail Bars",4.0,670,"['What an amazing spot. I had been walking by the exterior of this building for a while and thought it looked so cool so I reached out inquiring about hosting...', 'I got a lot of crap over the phone with the reservations person about a 10 people party (2 of them being of children) and even splitting the party in 5 was...', 'Celebrated my birthday at rule of thirds and had a fantastic experience with the food, drink, vibes, and service! They not only started us off with a cute...']"
Vineapple,$$,"Italian, Cocktail Bars, Breakfast & Brunch",4.3,159,"['I came here for a evening meal with quite a few foodies and wow this place is a hidden gem.\n\nThe great:\n1. Just simply amazing pasta with quite a few...', 'Conveniently placed close to Clark St Station, and a really cute place. Our service was great. Very helpful and friendly server. Food came in good time. The...', 'A classic brunch spot serving classic brunch food, I would recommend Vineapple if you are looking to catch up with a group of friends in a cozy, casual...']"
Au Cheval,$$$,"Burgers, New American, Cocktail Bars",4.3,983,"[""I can't recommend Au Cheval enough. I have been lucky enough to experience both NYC and Chicago locations and I'm thrilled to say their commitment to..."", ""Service is decent speed \nPlace environment for group setting not really for couple style , seating isn't comfortable. \nFood too over salty and oily . \nIt's..."", ""Tragically cool place. The staff and the guests were all so pretty too. I was totally out of place there, but the food was good. I'll say I've had better...""]"
Izakaya MEW,$$,"Tapas Bars, Sushi Bars, Izakaya",4.3,2979,"['Always consistently amazing Japanese food! More than just sushi, it serves traditional Japanese Bar food. This place is always packed but, the service is...', 'Definite good food! Warm service as well. I pretty much enjoy the vibe as well. Will go there again.', 'Finally made my way to Izakaya MEW and I already want to come back. This hidden spot under the basement has so much variety with Asian-inspired dishes....']"
Gatsby's Landing Times Square,$$$,New American,4.3,167,"['Great food. \n\nCambria (waitress) was EXCELLENT. \n\nThis place has a good vibe and it was a great experience.', ""Came back here for a business lunch and the ambiance is still good. \n\nAppetizers:\n- Romaine salad: heavily dressed but tasty (I'm not a big dressing fan)..."", 'Pros: \n- delicious, wide selection of food\n- friendly, quick service\n- easy to make reservations on Open Table\n- located in midtown and are respectful of...']"
Dim Sum Palace,$$,Dim Sum,4.1,97,"[""This place is so, so good!  \n\nI was craving dumplings and a lot of nearby places were closed or packed. I ended up here, and I'm so glad I did!\n\nI ordered 5..."", ""I came here on the Sunday after Lunar New Year. I came with 5 friends and we were told it'd be a 1 hour wait but we ended up waiting for 20 minutes! \n\nWhat..."", 'I was looking for places eat at Chinatown and this place stood out. It did not disappoint. The food was pretty tasty that even my teenager who is so picky...']"
Los Tacos No. 1,$$,Tacos,4.6,469,"[""Coming from California I never thought I'd find the best tacos I've ever eaten here in NYC. Carne asada and adoboda were both phenomenal.\n\nI wolfed down..."", 'Long line and fast service means great tacos. \n\nIt was standing room only and worth the wait.', ""so , this place has a breakfast burrito cart outside of the restaurant before opening . It's from 8-11am . IF YOU KNOW YOU KNOW . \n\nIt's one of the best...""]"
Taboonette,$$,"Mediterranean, Middle Eastern, New American",4.3,1044,"['falafel and chips great\ngirl at the front is rlly nice\namerican breakfast covered in ketchup and i didnt even have to ask 10/10', 'Came here for dinner and had a pleasant experience.\n\nThis is a smaller, hole-in-the-wall kind of place with a decent sized menu. My friend got the shawarma...', 'i enjoyed my salmon plate for lunch! It was the perfect amount of food! Ingredients tasted fresh and the rice was especially delicious. The white sauce was...']"
Shuka,$$,"Mediterranean, Cocktail Bars, Breakfast & Brunch",4.3,1045,"[""Went to Shuka last night as a start to girls night. Everything was delicious! The Cocktail's and wine selection were great, and even though we were still..."", 'I am in LOVE. \n\nWas able to grab a late dinner reservation here on a Saturday night. \nWhen you enter the ambiance immediately is cozy with intimate...', 'RATING: 8/10\n\nThe meat at this place is no joke. Getting both the steak and the lamb merguez, everythingwas super flavorful and the meat had an amazing...']"
Reyna New York,$$$,"Mediterranean, Cocktail Bars",4.3,115,"['Victoria was a great hostess loved the food and every single employee there. Will come back!\nThe ambiance was also very beautiful!', 'Had such a blast, this was a great spot for decadent shareable plates with big Mediterranean flavors! The staff is so friendly, my glass was never empty and...', 'We came here after a Select Member event from their speakeasy downstairs. As a Select Member we were able to get a free glass of prosecco and their...']"
Luke's Lobster Brooklyn Bridge Park,$$,"Seafood, Soup, Sandwiches",3.9,406,"[""Luke's Lobster in Brooklyn Bridge Park is a nice little food stall with good service. We tried the lobster flight and thought it was great! It comes with..."", ""This is probably on me for ordering a lobster roll for delivery but it was really not good. I actually ordered the Luke's Trio (lobster, crab, shrimp) and..."", ""We went to Luke's on a recommendation and after trying, I'm glad we went however, these three halves were $27. But the views and the ferry ride back to...""]"
Boqueria Soho,$$,"Spanish, Tapas Bars, Tapas/Small Plates",4.1,1275,"['Everything about our meal here was excellent. The service was top notch and our waiters were very attentive and informative, while maintaining just the...', ""tl;dr: pretty solid place if you're in the mood for some tapas\n\nFood: 9/10\nThe tapas were pretty decent. We did the Boqueria experience which was a healthy..."", ""I'm a huge fan of Boqueria and have even hosted my birthday here last year. Unfortunately, I felt quite miffed from my experience here last night. See below...""]"
Java Indonesian Restaurant,$$,Indonesian,4.0,251,"['My partner is Indonesian, and she believes this is the most AUTHENTIC Indo food she has found in America. That should be pretty much all you need to...', 'What an amazing, intimate dining experience! Probably 8 tables-it feels like you are in her home dining(in the best way possible). Such a gracious host and...', ""Always hard to find an Indo restaurant when we travel, but found this one in Brooklyn and couldn't wait. We took the subway from Manhattan and thereafter,...""]"
The Tyger,$$$,"Cocktail Bars, Noodles, Pan Asian",4.2,507,"['Great service and excellent quality of food. Recommend to make a reservation in advance', 'This was an absolutely wonderful date night! A friend Angela S. Recommended here for dinner and it did not disappoint. \nThe vibes were perfect, from the...', ""Environment was great\n\nmore of a drinking place than food place \n\nSingapore Crab Fried Rice was just alright \n\nDumpling wasn't wow sauce was little on the...""]"
Jacob's Pickles Time Out Market,$$,"Comfort Food, Southern",4.4,114,"[""OMG!! Was this place delicious! We've been wanting to visit since we saw it on IG. And we were not disappointed! The meals were hearty, and absolutely..."", ""Very happy with Jacob's Pickles at the DUMBO Time Out Market.\n\nGet ready for some very large portions.\n\nThey assemble and bake all Mac & Cheese orders on..."", ""Was in Brooklyn and had to visit the Time Out Market per a friends recommendation. With so many delicious food stalls in here, I stumbled upon Jacob's...""]"
La Pecora Bianca,$$$,Italian,4.0,1111,"['. I came here a couple of months ago during the San Gennaro festival and it was the highlight of meals that I had in the city.\nThey have a beautiful indoor...', 'Pretty great experience here !\n\nOrdered the Whipped Ricotta, mustttt get this! The truffle honey with the ricotta was so delicious and I needed to get extra...', 'I came here with a girlfriend for an early dinner. By the time we left at 7, the place was definitely packed.\n\nThe vibe is definitely trendy, but our...']"
L'industrie Pizzeria,$,Pizza,4.7,1289,"['This place is truly as amazing as they say. The lines speak for themselves, but they move fast! My favorite spot hands down. The burrata, pepperoni, and...', 'The story: Our last lunch in Brooklyn before ending our trip. We had tried several famous NYC pizza stops at this point and heard nothing but excellent...', ""I've now had L'Industrie (Brooklyn) on two occasions. On both occasions, I got slices and ate there. I waited in line, but neither wait time was...""]"
Forma Pasta Factory,$$,"Pasta Shops, Italian, Salad",4.7,724,"['Started off with incredible service at the register + very simplistic ordering experience. Food arrived in a timely manner and tasted high quality....', ""Food (5/5) - Pasta is actually al dente. There is a daily special and 1-2 chef's specials, and a small pasta menu of around 6 dishes, believe it rotates. I..."", 'Honestly a taaad overhyped to me, especially during peak busy hours. From the time we joined the line around 8pm on a Friday evening (it was out the door)...']"
